location,Basel,Basel,Basel,Basel
lat,47.75000,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653,363.653
variable,Temperature,Precipitation Total,Relative Humidity,Sunshine Duration
unit,°F,mm,%,min
level,2 m elevation corrected,sfc,2 m,sfc
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Relative Humidity [2 m],Basel Sunshine Duration
20070109T2300,50.28844,0.0,86.78061,0.0
20070110T0000,49.24444,0.0,87.25652,0.0
20070110T0100,48.09244,0.0,88.70572,0.0
20070110T0200,47.73244,0.0,89.300545,0.0
20070110T0300,47.80444,0.0,90.23144,0.0
20070110T0400,47.55244,0.0,90.90583,0.0
20070110T0500,46.508442,0.0,91.87028,0.0
20070110T0600,45.30244,0.0,92.78236,0.0
20070110T0700,45.17644,0.0,92.520386,0.0
20070110T0800,44.56444,0.0,92.561325,0.0
20070110T0900,44.582443,0.0,92.43321,37.258923
20070110T1000,46.958443,0.0,89.13812,47.63636
20070110T1100,49.64044,0.0,88.7252,44.545456
20070110T1200,51.89044,0.0,85.06249,55.151512
20070110T1300,54.48244,0.0,79.445496,51.51515
20070110T1400,56.39044,0.0,74.15373,46.666668
20070110T1500,57.07444,0.0,69.634094,39.39394
20070110T1600,56.89444,0.0,63.589844,25.454548
20070110T1700,56.69644,0.0,60.474503,3.0303025
20070110T1800,57.09244,0.0,59.32351,0.07323232
20070110T1900,56.67844,0.0,61.35921,0.0
20070110T2000,55.90444,0.0,63.768925,0.0
20070110T2100,55.958443,0.0,63.90846,0.0
20070110T2200,56.15644,0.0,64.868004,0.0
20070110T2300,55.07644,0.4,71.582504,0.0
20070111T0000,53.49244,0.8,77.80761,0.0
20070111T0100,52.124443,0.8,81.445915,0.0
20070111T0200,50.972443,0.4,83.04787,0.0
20070111T0300,50.14444,0.2,82.87346,0.0
20070111T0400,48.95644,0.0,84.987015,0.0
20070111T0500,47.94844,0.0,84.919815,0.0
20070111T0600,47.01244,0.0,85.6273,0.0
20070111T0700,46.832443,0.0,84.31428,0.0
20070111T0800,47.01244,0.0,86.04476,0.0
20070111T0900,47.876442,0.0,86.09912,6.424917
20070111T1000,48.776443,0.0,81.916435,22.424244
20070111T1100,50.126442,0.0,75.955826,21.212122
20070111T1200,51.24244,0.0,70.2707,29.09091
20070111T1300,52.05244,0.0,62.155685,30.90909
20070111T1400,52.57444,0.0,57.772938,26.666664
20070111T1500,52.46644,0.0,56.175716,22.424244
20070111T1600,52.10644,0.0,55.523537,27.878788
20070111T1700,51.800438,0.0,55.31868,3.0303025
20070111T1800,52.01644,0.0,55.19308,0.20353538
20070111T1900,52.376442,0.0,56.082207,0.0
20070111T2000,52.10644,0.0,59.74878,0.0
20070111T2100,52.08844,0.2,62.689026,0.0
20070111T2200,51.47644,0.6,67.0794,0.0
20070111T2300,50.68444,0.7,74.08185,0.0
20070112T0000,50.792442,0.4,74.1961,0.0
20070112T0100,50.612442,0.5,77.86835,0.0
20070112T0200,50.612442,0.7,79.994064,0.0
20070112T0300,50.05444,0.4,84.3036,0.0
20070112T0400,49.15444,0.3,84.12568,0.0
20070112T0500,48.272438,0.3,84.648155,0.0
20070112T0600,47.91244,0.0,80.0999,0.0
20070112T0700,46.958443,0.0,80.41212,0.0
20070112T0800,46.58044,0.0,81.17321,0.0
20070112T0900,46.31044,0.0,81.26511,13.0101
20070112T1000,47.192444,0.0,79.59161,11.515152
20070112T1100,47.58844,0.0,76.8308,7.878789
20070112T1200,48.43444,0.0,72.35533,17.575756
20070112T1300,49.15444,0.0,70.12784,9.696969
20070112T1400,49.10044,0.0,72.12378,0.0
20070112T1500,49.62244,0.0,70.72701,6.666666
20070112T1600,49.694443,0.0,70.0919,31.51515
20070112T1700,49.442444,0.0,70.855736,35.151512
20070112T1800,48.48844,0.0,75.212715,2.026936
20070112T1900,48.63244,0.0,75.49118,0.0
20070112T2000,47.750443,0.0,76.20174,0.0
20070112T2100,46.67044,0.0,77.2306,0.0
20070112T2200,46.472443,0.0,75.96822,0.0
20070112T2300,47.94844,0.0,73.89966,0.0
20070113T0000,48.38044,0.0,72.70703,0.0
20070113T0100,48.290443,0.0,73.93567,0.0
20070113T0200,48.326443,0.0,75.03819,0.0
20070113T0300,48.93844,0.0,76.90605,0.0
20070113T0400,48.65044,0.0,79.77284,0.0
20070113T0500,48.38044,0.0,82.39877,0.0
20070113T0600,48.25444,0.0,84.41288,0.0
20070113T0700,47.80444,0.0,86.63236,0.0
20070113T0800,46.09444,0.1,89.7767,0.0
20070113T0900,46.92244,0.0,89.38331,3.2925932
20070113T1000,48.95644,0.0,87.00034,7.2727275
20070113T1100,50.63044,0.0,81.83389,7.878789
20070113T1200,51.85444,0.0,79.44077,7.878789
20070113T1300,52.80844,0.0,78.38757,11.515152
20070113T1400,53.42044,0.0,75.75216,24.242424
20070113T1500,53.69044,0.0,73.67738,31.51515
20070113T1600,52.21444,0.0,77.85252,34.545456
20070113T1700,50.486443,0.0,79.48826,36.36364
20070113T1800,47.10244,0.0,85.09918,3.2537038
20070113T1900,44.94244,0.0,89.09581,0.0
20070113T2000,44.276443,0.0,89.749275,0.0
20070113T2100,43.80844,0.0,90.67396,0.0
20070113T2200,43.952442,0.0,90.11103,0.0
20070113T2300,44.51044,0.0,90.83314,0.0
20070114T0000,45.30244,0.0,90.67955,0.0
20070114T0100,45.46444,0.0,91.70051,0.0
20070114T0200,46.616444,0.0,88.62776,0.0
20070114T0300,47.82244,0.0,86.21497,0.0
20070114T0400,48.43444,0.0,86.07451,0.0
20070114T0500,48.21844,0.0,87.74,0.0
20070114T0600,48.14644,0.0,89.13704,0.0
20070114T0700,48.25444,0.0,89.38806,0.0
20070114T0800,48.362442,0.0,88.293526,0.0
20070114T0900,47.98444,0.0,88.090706,0.0
20070114T1000,48.416443,0.0,87.4494,0.0
20070114T1100,49.748444,0.0,87.40504,6.060605
20070114T1200,51.89044,0.0,82.15474,33.939392
20070114T1300,52.41244,0.0,80.143364,33.939392
20070114T1400,53.31244,0.0,74.50415,30.303032
20070114T1500,53.29444,0.0,70.407005,40.606064
20070114T1600,52.430443,0.0,76.02152,44.545456
20070114T1700,51.13444,0.0,72.69983,45.272724
20070114T1800,48.43444,0.0,79.75436,4.818687
20070114T1900,45.230442,0.0,86.29265,0.0
20070114T2000,43.71844,0.0,88.09791,0.0
20070114T2100,41.57644,0.0,90.50447,0.0
20070114T2200,39.236443,0.0,93.80774,0.0
20070114T2300,37.58044,0.0,95.58022,0.0
20070115T0000,36.590443,0.0,96.58744,0.0
20070115T0100,36.320442,0.0,96.44182,0.0
20070115T0200,36.21244,0.0,96.926125,0.0
20070115T0300,35.888443,0.0,97.19815,0.0
20070115T0400,35.65444,0.0,98.17849,0.0
20070115T0500,35.834442,0.0,96.98702,0.0
20070115T0600,35.76244,0.0,96.35784,0.0
20070115T0700,36.75244,0.0,93.98763,0.0
20070115T0800,36.77044,0.0,94.531204,0.0
20070115T0900,37.00444,0.0,93.25543,30.343939
20070115T1000,38.03044,0.0,91.702644,41.21212
20070115T1100,39.47044,0.0,87.03423,18.78788
20070115T1200,40.46044,0.0,83.79289,18.18182
20070115T1300,42.24244,0.0,83.15211,13.939394
20070115T1400,43.01644,0.0,82.62219,31.51515
20070115T1500,43.21444,0.0,81.4137,42.424244
20070115T1600,42.278442,0.0,85.61538,50.909096
20070115T1700,38.354443,0.0,90.93104,52.727272
20070115T1800,37.25644,0.0,92.997284,5.151515
20070115T1900,37.652443,0.0,92.946304,0.0
20070115T2000,37.94044,0.0,93.224884,0.0
20070115T2100,37.90444,0.0,94.366165,0.0
20070115T2200,37.994442,0.0,94.707504,0.0
20070115T2300,38.876442,0.0,92.20093,0.0
20070116T0000,38.94844,0.0,92.99771,0.0
20070116T0100,38.51644,0.0,93.180435,0.0
20070116T0200,38.714443,0.0,93.25468,0.0
20070116T0300,38.444443,0.0,93.98061,0.0
20070116T0400,38.30044,0.0,94.7851,0.0
20070116T0500,37.76044,0.0,95.243965,0.0
20070116T0600,37.05844,0.0,96.04637,0.0
20070116T0700,37.112442,0.0,96.60038,0.0
20070116T0800,37.562443,0.0,96.61139,0.0
20070116T0900,38.60644,0.0,95.88241,3.9084184
20070116T1000,39.542442,0.0,93.95215,4.242425
20070116T1100,39.758442,0.0,97.0062,0.0
20070116T1200,42.026443,0.0,97.18972,13.333332
20070116T1300,44.222443,0.0,93.39053,26.060608
20070116T1400,46.166443,0.0,87.44074,23.636362
20070116T1500,46.958443,0.0,85.802536,18.78788
20070116T1600,46.79644,0.0,86.21072,9.696969
20070116T1700,45.14044,0.0,88.91985,10.909091
20070116T1800,44.76244,0.0,88.899796,0.8299662
20070116T1900,43.98844,0.0,90.36551,0.0
20070116T2000,44.06044,0.0,89.61284,0.0
20070116T2100,44.65444,0.0,87.78127,0.0
20070116T2200,44.85244,0.0,86.693054,0.0
20070116T2300,44.582443,0.0,89.827286,0.0
20070117T0000,45.24844,0.0,87.87674,0.0
20070117T0100,45.42844,0.0,87.94834,0.0
20070117T0200,46.67044,0.0,85.78402,0.0
20070117T0300,46.90444,0.0,86.39734,0.0
20070117T0400,47.80444,0.0,86.57246,0.0
20070117T0500,48.61444,0.0,86.08573,0.0
20070117T0600,48.758442,0.0,86.809265,0.0
20070117T0700,48.50644,0.0,87.15388,0.0
20070117T0800,48.39844,0.0,87.38813,0.0
20070117T0900,48.542442,0.0,86.97603,14.888889
20070117T1000,49.388443,0.0,85.308586,25.454548
20070117T1100,50.180443,0.0,82.819115,9.090908
20070117T1200,51.08044,0.0,81.36431,2.4242413
20070117T1300,51.638443,0.0,80.68601,6.060605
20070117T1400,52.23244,0.0,79.20102,15.151516
20070117T1500,52.98844,0.0,75.295395,6.666666
20070117T1600,52.826443,0.0,73.13249,27.878788
20070117T1700,52.664444,0.0,72.76271,30.90909
20070117T1800,52.98844,0.0,70.567535,4.7680135
20070117T1900,53.54644,0.0,67.10025,0.0
20070117T2000,53.67244,0.0,65.31912,0.0
20070117T2100,53.72644,0.0,64.55634,0.0
20070117T2200,53.60044,0.0,63.86738,0.0
20070117T2300,53.20444,0.0,67.15167,0.0
20070118T0000,53.708443,0.0,65.41478,0.0
20070118T0100,54.12244,0.0,62.174343,0.0
20070118T0200,54.69844,0.0,60.32434,0.0
20070118T0300,54.806442,0.0,61.66123,0.0
20070118T0400,54.78844,0.0,65.279396,0.0
20070118T0500,54.53644,0.1,70.1598,0.0
20070118T0600,53.636444,0.5,76.97469,0.0
20070118T0700,53.06044,0.5,80.141815,0.0
20070118T0800,53.61844,0.7,78.13822,0.0
20070118T0900,54.248444,0.3,75.83189,1.5121198
20070118T1000,54.914444,0.1,72.00764,1.2121224
20070118T1100,54.374443,0.4,76.78071,0.0
20070118T1200,54.57244,0.9,77.58693,0.0
20070118T1300,54.64444,0.6,77.43529,1.2121224
20070118T1400,55.97644,0.1,70.998314,1.2121224
20070118T1500,56.71444,0.1,67.6695,0.6060612
20070118T1600,56.300438,0.3,69.49837,1.2121224
20070118T1700,55.040443,0.4,76.42564,0.0
20070118T1800,54.53644,0.4,80.42512,0.0
20070118T1900,54.986443,0.2,77.72952,0.0
20070118T2000,55.292442,0.2,77.441185,0.0
20070118T2100,55.83244,0.1,78.17372,0.0
20070118T2200,56.39044,0.3,78.380615,0.0
20070118T2300,56.78644,0.3,78.204025,0.0
20070119T0000,56.930443,0.4,78.32176,0.0
20070119T0100,56.69644,0.5,79.78933,0.0
20070119T0200,56.264442,0.5,82.31128,0.0
20070119T0300,56.06644,0.3,83.57527,0.0
20070119T0400,56.300438,0.3,83.92723,0.0
20070119T0500,56.37244,0.2,83.988144,0.0
20070119T0600,56.318443,0.2,83.92844,0.0
20070119T0700,56.300438,0.2,82.7008,0.0
20070119T0800,56.10244,0.2,81.85896,0.0
20070119T0900,55.90444,0.2,81.734344,0.0
20070119T1000,56.10244,0.1,80.60392,0.0
20070119T1100,56.64244,0.1,79.25065,10.30303
20070119T1200,57.236443,0.0,77.66695,15.757578
20070119T1300,57.00244,0.0,78.065155,4.8484864
20070119T1400,56.66044,0.1,79.786385,8.48485
20070119T1500,56.69644,0.4,79.62874,7.878789
20070119T1600,55.958443,0.5,82.731895,3.6363637
20070119T1700,55.526443,0.3,84.383156,0.6060612
20070119T1800,55.36444,0.3,84.25941,0.0
20070119T1900,55.25644,0.3,85.10442,0.0
20070119T2000,55.07644,0.2,85.55099,0.0
20070119T2100,54.96844,0.2,86.00461,0.0
20070119T2200,54.64444,0.1,86.44825,0.0
20070119T2300,53.97844,0.0,86.11912,0.0
20070120T0000,53.78044,0.0,86.63099,0.0
20070120T0100,53.38444,0.0,87.01791,0.0
20070120T0200,53.49244,0.0,86.43926,0.0
20070120T0300,53.56444,0.0,85.92033,0.0
20070120T0400,53.348442,0.0,84.98331,0.0
20070120T0500,53.07844,0.0,84.10684,0.0
20070120T0600,52.89844,0.0,83.58255,0.0
20070120T0700,52.952442,0.0,83.18996,0.0
20070120T0800,53.276443,0.0,81.86816,0.0
20070120T0900,53.042442,0.0,81.96186,19.73569
20070120T1000,53.258442,0.0,80.925804,19.393942
20070120T1100,53.67244,0.0,80.51959,11.515152
20070120T1200,54.48244,0.0,77.15763,1.8181801
20070120T1300,55.07644,0.0,75.39615,0.0
